T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
28.3,36.4,20.1,1004.0,47,1.9,6.3,14.8,53.375
28.3,36.4,20.1,1004.0,47,1.9,6.3,14.8,53.375
28.3,36.4,20.1,1004.0,47,1.9,6.3,14.8,53.375
28.3,36.4,20.1,1004.0,47,1.9,6.3,14.8,53.375
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,24.875
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,37.333333333333336
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
28.0,38.6,23.8,1007.3,48,2.3,15.6,25.9,50.125
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,38.79166666666666
